Start	End	StartM	EndM	length	lengthM	ch	iid1	iid2	SNP_Dens
39060	41913	1.1368809938430786	1.1971999406814575	2853	0.0603189468383789	5	VLI007	I10111	472.9857117108572
55737	60243	1.5676089525222778	1.6618820428848269	4506	0.09427309036254884	5	VLI007	I5512	477.9730867706936
41883	45440	1.196810007095337	1.2949689626693726	3557	0.09815895557403563	5	VLI007	Gyvakarai1_10bp_noUDG	362.3714188072387
42065	44876	1.2052860260009766	1.2733190059661863	2811	0.06803297996520996	5	VLI007	I11906	413.18195990201536
9495	11776	0.3490639925003052	0.41763201355934143	2281	0.06856802105903625	6	VLI007	I16813	332.6623642872945
29582	32275	0.9283949732780457	1.0133179426193235	2693	0.08492296934127808	7	VLI007	I4892	317.1109089671252
23888	27023	0.7648040056228638	0.8278489708900452	3135	0.0630449652671814	7	VLI007	I10111	497.26413310151366
21992	25323	0.7193830013275146	0.7896299958229065	3331	0.07024699449539185	7	VLI007	I5508	474.18398807347
51206	53775	1.4841610193252563	1.5789940357208252	2569	0.09483301639556883	7	VLI007	RISE495_noUDG.SG	270.8972146666885
3914	5472	0.13367000222206116	0.1938530057668686	1558	0.060183003544807434	8	VLI007	I3758	258.877076289494
1460	3666	0.06103000044822692	0.1228730008006096	2206	0.06184300035238266	8	VLI007	I4774	356.70973067771087
22953	26236	0.7050719857215881	0.783847987651825	3283	0.07877600193023683	8	VLI007	I6221	416.75128459900634
160	1646	0.0039429999887943285	0.06694299727678299	1486	0.06299999728798866	9	VLI007	I18267	235.87302602683047
1024	2638	0.03841700032353401	0.09884700179100037	1614	0.06043000146746635	9	VLI007	I18245	267.08587800861267
12196	15083	0.4406769871711731	0.5165500044822693	2887	0.07587301731109619	10	VLI007	ARS026.A0101	380.50417688842657
18157	20417	0.6063860058784485	0.667864978313446	2260	0.061478972434997566	10	VLI007	Log02.SG	367.6053633442759
13189	15302	0.4647580087184906	0.5266489982604979	2113	0.06189098954200745	10	VLI007	I20589	341.4067242479356
52088	54142	1.5360840559005735	1.6180150508880615	2054	0.08193099498748779	10	VLI007	Gyvakarai1_10bp_noUDG	250.6987740492691
35741	38366	1.108713984489441	1.1735130548477173	2625	0.06479907035827638	10	VLI007	I7024	405.09840426510453
7401	9589	0.2715060114860535	0.33524298667907715	2188	0.06373697519302368	11	VLI007	I11147	343.28582324055554
6733	9527	0.2578110098838806	0.3313570022583008	2794	0.07354599237442018	11	VLI007	I5748	379.89833433422723
